gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0.5,10,0,0.4852459016393443,40.477569580078125,-0.5153385008824815,305,148,2
0.5,10,50,0.5361328125,63.27857208251953,2.3125,1024,549,0
0.5,10,100,0.5869140625,60.89249038696289,5.5625,1024,601,0
0.5,10,150,0.642578125,76.59749603271484,9.125,1024,658,0
0.5,10,200,0.6630859375,63.073246002197266,10.4375,1024,679,0
0.5,10,250,0.6796875,67.01324462890625,11.5,1024,696,0
0.5,10,300,0.705078125,65.88624572753906,13.125,1024,722,0
0.5,10,350,0.7275390625,71.26532745361328,14.5625,1024,745,0
0.5,10,400,0.7353515625,74.29080963134766,15.0625,1024,753,0
0.5,10,450,0.7294921875,70.34516906738281,14.6875,1024,747,0
0.5,10,500,0.7421875,77.74584197998047,15.5,1024,760,0
0.5,10,550,0.7490234375,76.21346282958984,15.9375,1024,767,0
0.5,10,600,0.7548828125,74.21083068847656,16.3125,1024,773,0
0.5,10,650,0.759765625,82.22920989990234,16.625,1024,778,0
0.5,10,700,0.7666015625,84.27131652832031,17.0625,1024,785,0
0.5,10,750,0.7734375,83.28324127197266,17.5,1024,792,0
0.5,10,800,0.78515625,84.19933319091797,18.25,1024,804,0
0.5,10,850,0.78515625,82.28713989257812,18.25,1024,804,0
0.5,10,900,0.7958984375,79.75820922851562,18.9375,1024,815,0
0.5,10,950,0.7978515625,79.21356964111328,19.0625,1024,817,0
0.5,10,1000,0.8095703125,85.03623962402344,19.8125,1024,829,0
