gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0.9,5000,0,0.9511941848390446,1936.319580078125,5.295567656661242,963,916,0
0.9,5000,50,0.9491173416407062,1909.0260009765625,5.080737325762206,963,914,0
0.9,5000,100,0.952232606438214,1959.1490478515625,5.4029828221107605,963,917,0
0.9,5000,150,0.956386292834891,1941.90625,5.832643483908833,963,921,0
0.9,5000,200,0.9553478712357217,1974.5760498046875,5.7252283184593145,963,920,0
0.9,5000,250,0.9553478712357217,1963.2974853515625,5.7252283184593145,963,920,0
0.9,5000,300,0.956386292834891,1984.8892822265625,5.832643483908833,963,921,0
0.9,5000,350,0.9584631360332295,1951.4617919921875,6.047473814807869,963,923,0
0.9,5000,400,0.9595015576323987,2007.920654296875,6.154888980257388,963,924,0
0.9,5000,450,0.9615784008307373,2008.4302978515625,6.369719311156424,963,926,0
0.9,5000,500,0.9626168224299065,2015.7296142578125,6.477134476605942,963,927,0
0.9,5000,550,0.9667705088265836,2008.1209716796875,6.906795138404015,963,931,0
0.9,5000,600,0.9678089304257529,1992.056640625,7.014210303853533,963,932,0
0.9,5000,650,0.9678089304257529,1992.056640625,7.014210303853533,963,932,0
0.9,5000,700,0.9698857736240913,2028.490966796875,7.229040634752569,963,934,0
0.9,5000,750,0.9709241952232607,1985.893798828125,7.336455800202088,963,935,0
0.9,5000,800,0.9719626168224299,1991.642333984375,7.443870965651606,963,936,0
0.9,5000,850,0.9719626168224299,1961.173583984375,7.443870965651606,963,936,0
0.9,5000,900,0.9719626168224299,1967.133056640625,7.443870965651606,963,936,0
0.9,5000,950,0.9792315680166147,1970.1483154296875,8.195777123798234,963,943,0
0.9,5000,1000,0.9833852544132918,2013.4345703125,8.625437785596306,963,947,0
