gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0.9,30,0,0.9032921810699589,47.309444427490234,0.3421334928531043,972,878,3
0.9,30,50,0.9338842975206612,159.86105346679688,2.151941912434062,363,339,0
0.9,30,100,0.9421487603305785,147.24452209472656,2.6768057935155403,363,342,0
0.9,30,150,0.9586776859504132,140.50711059570312,3.726533555678496,363,348,0
0.9,30,200,0.9641873278236914,139.62277221679688,4.076442809732815,363,350,0
0.9,30,250,0.9614325068870524,137.3267059326172,3.9014881827056556,363,349,0
0.9,30,300,0.9614325068870524,135.1667022705078,3.9014881827056556,363,349,0
0.9,30,350,0.9614325068870524,137.33116149902344,3.9014881827056556,363,349,0
0.9,30,400,0.9669421487603306,143.80259704589844,4.251397436759974,363,351,0
0.9,30,450,0.9696969696969697,140.67404174804688,4.426352063787133,363,352,0
0.9,30,500,0.9696969696969697,140.67404174804688,4.426352063787133,363,352,0
0.9,30,550,0.9752066115702479,140.8260498046875,4.776261317841453,363,354,0
0.9,30,600,0.9752066115702479,141.70343017578125,4.776261317841453,363,354,0
0.9,30,650,0.9752066115702479,141.61297607421875,4.776261317841453,363,354,0
0.9,30,700,0.9752066115702479,141.1553497314453,4.776261317841453,363,354,0
0.9,30,750,0.9752066115702479,140.56668090820312,4.776261317841453,363,354,0
0.9,30,800,0.977961432506887,142.3656005859375,4.951215944868611,363,355,0
0.9,30,850,0.9807162534435262,144.35398864746094,5.126170571895771,363,356,0
0.9,30,900,0.9807162534435262,144.36129760742188,5.126170571895771,363,356,0
0.9,30,950,0.9807162534435262,145.20001220703125,5.126170571895771,363,356,0
0.9,30,1000,0.9807162534435262,145.1737060546875,5.126170571895771,363,356,0
