gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0.75,10000,0,0.8847352024922118,2008.4971923828125,9.655918398816892,963,852,0
0.75,10000,50,0.8868120456905504,2033.2127685546875,9.804757218066479,963,854,0
0.75,10000,100,0.8888888888888888,2016.94384765625,9.953596037316064,963,856,0
0.75,10000,150,0.8878504672897196,2029.2532958984375,9.879176627691272,963,855,0
0.75,10000,200,0.8982346832814122,2127.980224609375,10.623370723939201,963,865,0
0.75,10000,250,0.9044652128764278,2120.6728515625,11.06988718168796,963,871,0
0.75,10000,300,0.9096573208722741,2145.464111328125,11.441984229811926,963,876,0
0.75,10000,350,0.9127725856697819,2221.741455078125,11.665242458686304,963,879,0
0.75,10000,400,0.9231568016614745,2244.464599609375,12.409436554934233,963,889,0
0.75,10000,450,0.9231568016614745,2250.278076171875,12.409436554934233,963,889,0
0.75,10000,500,0.9262720664589823,2234.41845703125,12.632694783808613,963,892,0
0.75,10000,550,0.936656282450675,2207.14111328125,13.376888880056542,963,902,0
0.75,10000,600,0.9418483904465212,2234.475830078125,13.748985928180508,963,907,0
0.75,10000,650,0.9439252336448598,2231.03466796875,13.897824747430095,963,909,0
0.75,10000,700,0.9439252336448598,2233.2294921875,13.897824747430095,963,909,0
0.75,10000,750,0.9439252336448598,2213.73193359375,13.897824747430095,963,909,0
0.75,10000,800,0.9470404984423676,2176.764892578125,14.121082976304473,963,912,0
0.75,10000,850,0.9553478712357217,2193.265380859375,14.716438253302817,963,920,0
0.75,10000,900,0.960539979231568,2205.19189453125,15.088535301426782,963,925,0
0.75,10000,950,0.9646936656282451,2223.2294921875,15.386212939925954,963,929,0
0.75,10000,1000,0.9688473520249221,2277.13818359375,15.683890578425126,963,933,0
