model_seed,gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0,0.015,15,200,0.06932409012131716,48.70790481567383,10.735360251025671,577,40,0
1,0.015,15,200,0.06719367588932806,28.99659538269043,6.829900867692697,253,17,0
2,0.015,15,200,0.072265625,34.315391540527344,15.07579552889675,1024,74,0
3,0.015,15,200,0.06256983240223464,29.256025314331055,11.707910509385497,895,56,0
4,0.015,15,200,0.0959409594095941,38.852500915527344,15.502589466137374,542,52,0
5,0.015,15,200,0.07421875,39.50359344482422,15.589976822515329,1024,76,0
6,0.015,15,200,0.072265625,60.18671417236328,15.07579552889675,1024,74,0
7,0.015,15,200,0.095703125,31.375459671020508,21.245971052319703,1024,98,0
8,0.015,15,200,0.08984375,30.659006118774414,19.703427171463964,1024,92,0
9,0.015,15,200,0.0771484375,48.5018196105957,16.361248762943198,1024,79,0
10,0.015,15,200,0.12195121951219512,36.33187484741211,5.633962144508189,41,5,0
11,0.015,15,200,0.0791015625,33.489227294921875,16.87543005656178,1024,81,0
12,0.015,15,200,0.06842105263157895,27.764318466186523,6.057947384363019,190,13,0
13,0.015,15,200,0.0556640625,29.800596237182617,10.705254533138824,1024,57,0
14,0.015,15,200,0.0703125,45.07992935180664,14.56161423527817,1024,72,0
15,0.015,15,200,0.09281437125748503,31.441890716552734,20.26422172270155,1002,93,0
16,0.015,15,200,0.09281437125748503,37.99118423461914,16.54566775174717,668,62,0
17,0.015,15,200,0.0576171875,31.56972885131836,11.219435826757405,1024,59,0
18,0.015,15,200,0.0712890625,30.737503051757812,14.818704882087461,1024,73,0
19,0.015,15,200,0.0615234375,30.736827850341797,12.247798413994563,1024,63,0
20,0.015,15,200,0.072265625,40.37334442138672,15.07579552889675,1024,74,0
21,0.015,15,200,0.044897959183673466,40.78923034667969,5.444723626278262,490,22,0
22,0.015,15,200,0.0927734375,40.46050262451172,20.474699111891834,1024,95,0
23,0.015,15,200,0.07202216066481995,42.24785614013672,8.913197414011334,361,26,0
24,0.015,15,200,0.068359375,50.41743087768555,14.047432941659592,1024,70,0
25,0.015,15,200,0.09248554913294797,61.699119567871094,11.857551506653891,346,32,0
26,0.015,15,200,0.11467889908256881,49.517059326171875,12.107869592206391,218,25,0
27,0.015,15,200,0.115234375,34.222869873046875,26.387783988505497,1024,118,0
28,0.015,15,200,0.0810546875,47.43938446044922,17.389611350180356,1024,83,0
29,0.015,15,200,0.0712890625,22.85832405090332,14.818704882087461,1024,73,0
30,0.015,15,200,0.078125,28.526792526245117,10.991998320267252,448,35,0
31,0.015,15,200,0.078125,28.898303985595703,16.618339409752487,1024,80,0
32,0.015,15,200,0.12109375,47.97800827026367,27.930327869361236,1024,124,0
33,0.015,15,200,0.068359375,36.48253631591797,14.047432941659592,1024,70,0
34,0.015,15,200,0.08984375,65.23705291748047,19.703427171463964,1024,92,0
35,0.015,15,200,0.049586776859504134,33.20054626464844,6.998807274673929,605,30,0
36,0.015,15,200,0.13504823151125403,41.86573791503906,24.631293217089027,622,84,0
37,0.015,15,200,0.05830903790087463,37.458251953125,6.598752679230956,343,20,0
38,0.015,15,200,0.047186932849364795,34.83414840698242,6.215722949287567,551,26,0
39,0.015,15,200,0.0693359375,43.44674301147461,14.30452358846888,1024,71,0
40,0.015,15,200,0.07063197026022305,35.296653747558594,13.001619851787838,807,57,0
41,0.015,15,200,0.087890625,49.46440124511719,19.189245877845387,1024,90,0
42,0.015,15,200,0.057291666666666664,31.918811798095703,4.82105038251522,192,11,0
43,0.015,15,200,0.0810546875,32.69588088989258,17.389611350180356,1024,83,0
44,0.015,15,200,0.0888671875,56.35511016845703,19.446336524654676,1024,91,0
45,0.015,15,200,0.0791015625,33.63834762573242,16.87543005656178,1024,81,0
46,0.015,15,200,0.0595703125,53.83547592163086,11.733617120375984,1024,61,0
47,0.015,15,200,0.09745762711864407,54.365535736083984,10.421328590562467,236,23,0
48,0.015,15,200,0.053811659192825115,34.452144622802734,4.768160832025385,223,12,0
49,0.015,15,200,0.0732421875,25.183977127075195,15.33288617570604,1024,75,0
50,0.015,15,200,0.095703125,34.76826095581055,21.245971052319703,1024,98,0
51,0.015,15,200,0.0877914951989026,49.62662124633789,16.168906871626618,729,64,0
52,0.015,15,200,0.1171875,34.83905792236328,26.901965282124078,1024,120,0
53,0.015,15,200,0.08716707021791767,42.5522575378418,12.065639787227587,413,36,0
54,0.015,15,200,0.12875536480686695,40.63383102416992,14.285192703366612,233,30,0
55,0.015,15,200,0.0615234375,38.31254577636719,12.247798413994563,1024,63,0
56,0.015,15,200,0.0849609375,55.24273681640625,18.417973937417518,1024,87,0
57,0.015,15,200,0.0791015625,35.30734634399414,16.87543005656178,1024,81,0
58,0.015,15,200,0.0908203125,59.91175079345703,19.960517818273257,1024,93,0
59,0.015,15,200,0.1083984375,24.322038650512695,24.58814946084047,1024,111,0
60,0.015,15,200,0.0888671875,62.941890716552734,19.446336524654676,1024,91,0
61,0.015,15,200,0.07977207977207977,53.44374084472656,9.983381228446758,351,28,0
62,0.015,15,200,0.08924731182795699,51.112770080566406,18.627666925144993,930,83,0
