model_seed,gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
1,0.015,15,200,0.06719367588932806,28.99659538269043,6.829900867692697,253,17,0
2,0.015,15,200,0.072265625,34.315391540527344,15.07579552889675,1024,74,0
3,0.015,15,200,0.06256983240223464,29.256025314331055,11.707910509385497,895,56,0
4,0.015,15,200,0.0959409594095941,38.852500915527344,15.502589466137374,542,52,0
5,0.015,15,200,0.07421875,39.50359344482422,15.589976822515329,1024,76,0
6,0.015,15,200,0.072265625,60.18671417236328,15.07579552889675,1024,74,0
7,0.015,15,200,0.095703125,31.375459671020508,21.245971052319703,1024,98,0
8,0.015,15,200,0.08984375,30.659006118774414,19.703427171463964,1024,92,0
9,0.015,15,200,0.0771484375,48.5018196105957,16.361248762943198,1024,79,0
10,0.015,15,200,0.12195121951219512,36.33187484741211,5.633962144508189,41,5,0
11,0.015,15,200,0.0791015625,33.489227294921875,16.87543005656178,1024,81,0
12,0.015,15,200,0.06842105263157895,27.764318466186523,6.057947384363019,190,13,0
13,0.015,15,200,0.0556640625,29.800596237182617,10.705254533138824,1024,57,0
14,0.015,15,200,0.0703125,45.07992935180664,14.56161423527817,1024,72,0
15,0.015,15,200,0.09281437125748503,31.441890716552734,20.26422172270155,1002,93,0
