model_seed,gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
1,0.01,15,350,0.06944444444444445,33.77040100097656,7.169269748849047,144,10,0
2,0.01,15,350,0.095703125,25.716623306274414,27.563162083483892,1024,98,0
3,0.01,15,350,0.09050279329608939,41.24240493774414,24.20498791776846,895,81,0
4,0.01,15,350,0.087890625,31.887109756469727,25.05056754533586,1024,90,0
5,0.01,15,350,0.10546875,30.113174438476562,30.703905256168927,1024,108,0
6,0.01,15,350,0.041666666666666664,30.752309799194336,1.5591588857382146,24,1,0
7,0.01,15,350,0.1357421875,35.2287483215332,40.44020909149254,1024,139,0
8,0.01,15,350,0.1630859375,26.954816818237305,49.23428997501065,1024,167,0
9,0.01,15,350,0.1005859375,48.869380950927734,29.13353366982641,1024,103,0
10,0.01,15,350,0.080078125,45.32218933105469,22.53797300718783,1024,82,0
11,0.01,15,350,0.119140625,36.577110290527344,35.10094569792798,1024,122,0
12,0.01,15,350,0.08717948717948718,28.763608932495117,10.831824053612223,195,17,0
13,0.01,15,350,0.1171875,25.559795379638672,34.47279706339097,1024,120,0
14,0.01,15,350,0.0791015625,43.465309143066406,22.223898689919327,1024,81,0
15,0.01,15,350,0.07441860465116279,57.20246887207031,13.425421945994879,430,32,0
16,0.01,15,350,0.11224489795918367,33.54392623901367,26.914486998447703,686,77,0
17,0.01,15,350,0.0712890625,26.301040649414062,19.711304151771294,1024,73,0
18,0.01,15,350,0.07421875,27.633363723754883,20.65352710357681,1024,76,0
19,0.01,15,350,0.087890625,36.827449798583984,25.05056754533586,1024,90,0
20,0.01,15,350,0.07421875,26.222360610961914,20.65352710357681,1024,76,0
21,0.01,15,350,0.07346938775510205,40.965694427490234,14.12032691692282,490,36,0
22,0.01,15,350,0.08984375,36.77512741088867,25.67871617987287,1024,92,0
23,0.01,15,350,0.06285714285714286,31.726810455322266,9.93848322297969,350,22,0
24,0.01,15,350,0.052845528455284556,32.79921340942383,11.698120412591273,738,39,0
25,0.01,15,350,0.12101910828025478,55.62710189819336,24.215341101126185,471,57,0
26,0.01,15,350,0.09954751131221719,46.67862319946289,13.379258970242182,221,22,0
27,0.01,15,350,0.1318359375,28.681283950805664,39.18391182241853,1024,135,0
28,0.01,15,350,0.1025390625,27.86513328552246,29.76168230436342,1024,105,0
29,0.01,15,350,0.1435546875,28.251651763916016,42.95280362964057,1024,147,0
30,0.01,15,350,0.10545454545454545,32.0985107421875,15.909090909090908,275,29,0
