model_seed,gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
1,0.05,30,350,0.45,62.83297348022461,11.607620001760187,40,18,0
2,0.05,30,350,0.45703125,32.94221878051758,59.762798673281345,1024,468,0
3,0.05,30,350,0.34074074074074073,39.56638717651367,30.9995912693925,540,184,0
4,0.05,30,350,0.3763020833333333,34.28971862792969,41.49097608506249,768,289,0
5,0.05,30,350,0.73828125,25.517562866210938,101.05763076998245,1024,756,0
6,0.05,30,350,0.7021484375,15.372668266296387,95.75239192422572,1024,719,0
7,0.05,30,350,0.484375,45.31464767456055,63.777574016016175,1024,496,0
8,0.05,30,350,0.490234375,29.920364379882812,64.63788301803078,1024,502,0
9,0.05,30,350,0.3318777292576419,56.175785064697266,19.571841977473003,229,76,0
10,0.05,30,350,0.3759765625,41.74800109863281,47.861857478745954,1024,385,0
11,0.05,30,350,0.37543053960964407,48.381072998046875,44.06771976529654,871,327,0
12,0.05,30,350,0.462890625,51.2606315612793,60.62310767529595,1024,474,0
13,0.05,30,350,0.4462890625,61.51029586791992,58.185565502921236,1024,457,0
14,0.05,30,350,0.3974609375,50.47403335571289,51.01632381946618,1024,407,0
15,0.05,30,350,0.3212121212121212,45.92294692993164,15.98469164000846,165,53,0
16,0.05,30,350,0.412109375,49.347007751464844,53.167096324502694,1024,422,0
17,0.05,30,350,0.4189453125,36.71226119995117,54.1707901601864,1024,429,0
18,0.05,30,350,0.35563380281690143,20.093067169189453,23.632722223092124,284,101,0
19,0.05,30,350,0.5810546875,34.087890625,77.97267254925718,1024,595,0
20,0.05,30,350,0.38229166666666664,48.32938003540039,47.23982300128762,960,367,0
21,0.05,30,350,0.2604166666666667,47.37143325805664,9.45951669697511,96,25,0
22,0.05,30,350,0.3974609375,26.309669494628906,51.01632381946618,1024,407,0
23,0.05,30,350,0.412109375,44.086769104003906,53.167096324502694,1024,422,0
24,0.05,30,350,0.482421875,43.32429122924805,63.490804348677976,1024,494,0
25,0.05,30,350,0.45766871165644174,43.52976989746094,53.39976925789942,815,373,0
26,0.05,30,350,0.44045368620037806,54.22902297973633,41.205060722577855,529,233,0
27,0.05,30,350,0.34782608695652173,32.64248275756836,6.553598763318677,23,8,0
28,0.05,30,350,0.4482421875,38.61406707763672,58.472335170259434,1024,459,0
29,0.05,30,350,0.390625,29.952844619750977,50.01262998378247,1024,400,0
30,0.05,30,350,0.3525390625,49.33913803100586,44.42062147068753,1024,361,0
