model_seed,gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
1,0.01,10,350,0.034722222222222224,34.28690719604492,2.981612185268996,144,5,0
2,0.01,10,350,0.0556640625,25.750120162963867,14.686115075475234,1024,57,0
3,0.01,10,350,0.03873239436619718,38.394405364990234,4.86646261535869,284,11,0
4,0.01,10,350,0.051923076923076926,33.04709243774414,9.608093583821002,520,27,0
5,0.01,10,350,0.0576171875,27.733966827392578,15.314263710012243,1024,59,0
6,0.01,10,350,0.0478515625,26.343063354492188,12.173520537327205,1024,49,0
7,0.01,10,350,0.0576171875,27.122716903686523,15.314263710012243,1024,59,0
8,0.01,10,350,0.095703125,26.212360382080078,27.563162083483892,1024,98,0
9,0.01,10,350,0.0771484375,33.77409362792969,21.595750055382318,1024,79,0
10,0.01,10,350,0.05314533622559653,31.697717666625977,13.166844935710047,922,49,0
11,0.01,10,350,0.0556640625,28.247745513916016,14.686115075475234,1024,57,0
12,0.01,10,350,0.035897435897435895,26.773483276367188,3.634598768820048,195,7,0
13,0.01,10,350,0.0615234375,25.368974685668945,16.570560979086256,1024,63,0
14,0.01,10,350,0.0458984375,45.517024993896484,11.545371902790198,1024,47,0
15,0.01,10,350,0.05859375,54.70293426513672,15.628338027280746,1024,60,0
16,0.01,10,350,0.0625,36.15791320800781,16.884635296354762,1024,64,0
17,0.01,10,350,0.0498046875,35.12972640991211,12.801669171864212,1024,51,0
18,0.01,10,350,0.048828125,34.290470123291016,12.48759485459571,1024,50,0
19,0.01,10,350,0.0390625,25.094341278076172,9.346851681910671,1024,40,0
20,0.01,10,350,0.0546875,27.694854736328125,14.372040758206731,1024,56,0
21,0.01,10,350,0.04897959183673469,29.986995697021484,8.671969264090865,490,24,0
22,0.01,10,350,0.043835616438356165,37.93720245361328,6.49685131983877,365,16,0
23,0.01,10,350,0.08695652173913043,37.63600540161133,11.729830894191275,230,20,0
24,0.01,10,350,0.029850746268656716,24.188251495361328,2.3094663574130965,134,4,0
25,0.01,10,350,0.05859375,22.46392250061035,15.628338027280746,1024,60,0
26,0.01,10,350,0.04524886877828054,45.506507873535156,5.266519827093815,221,10,0
27,0.01,10,350,0.095703125,36.09227752685547,27.563162083483892,1024,98,0
28,0.01,10,350,0.0712890625,24.7877140045166,19.711304151771294,1024,73,0
29,0.01,10,350,0.078125,24.198993682861328,21.909824372650824,1024,80,0
30,0.01,10,350,0.05555555555555555,24.019193649291992,7.268152320870243,252,14,0
