gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0.1,2,0,0.1005859375,23.1486759185791,0.062499999999999396,1024,103,4
0.1,2,50,0.0947265625,34.47947692871094,-0.5625000000000006,1024,97,2
0.1,2,100,0.1015625,32.084327697753906,0.16666666666666605,1024,104,0
0.1,2,150,0.26666666666666666,30.008665084838867,2.151657414559676,15,4,1
0.1,2,200,0.107421875,29.675209045410156,0.791666666666666,1024,110,0
0.1,2,250,0.26666666666666666,32.600303649902344,2.151657414559676,15,4,1
0.1,2,300,0.1142578125,33.71376419067383,1.5208333333333326,1024,117,0
0.1,2,350,0.26666666666666666,35.60879135131836,2.151657414559676,15,4,1
0.1,2,400,0.1220703125,34.19815444946289,2.3541666666666656,1024,125,0
0.1,2,450,0.26666666666666666,37.102840423583984,2.151657414559676,15,4,1
0.1,2,500,0.125,34.39794158935547,2.6666666666666656,1024,128,0
0.1,2,550,0.26666666666666666,33.55970001220703,2.151657414559676,15,4,1
0.1,2,600,0.1318359375,33.884761810302734,3.395833333333332,1024,135,0
0.1,2,650,0.26666666666666666,33.87623977661133,2.151657414559676,15,4,1
0.1,2,700,0.1376953125,34.64767837524414,4.020833333333332,1024,141,0
0.1,2,750,0.26666666666666666,33.62648010253906,2.151657414559676,15,4,1
0.1,2,800,0.138671875,35.698238372802734,4.124999999999999,1024,142,0
0.1,2,850,0.26666666666666666,34.01686096191406,2.151657414559676,15,4,1
0.1,2,900,0.1455078125,34.81278610229492,4.854166666666665,1024,149,0
0.1,2,950,0.26666666666666666,34.60830307006836,2.151657414559676,15,4,1
0.1,2,1000,0.1455078125,34.668827056884766,4.854166666666665,1024,149,0
