gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0.1,8,0,0.0947265625,34.47947692871094,-0.5625000000000006,1024,97,2
0.1,8,50,0.1123046875,19.89327049255371,1.3124999999999991,1024,115,0
0.1,8,100,0.1337890625,32.20676803588867,3.6041666666666656,1024,137,0
0.1,8,150,0.1572265625,30.026155471801758,6.104166666666665,1024,161,0
0.1,8,200,0.1806640625,30.81517791748047,8.604166666666664,1024,185,0
0.1,8,250,0.205078125,32.35893249511719,11.20833333333333,1024,210,0
0.1,8,300,0.2275390625,30.010826110839844,13.604166666666664,1024,233,0
0.1,8,350,0.23828125,29.905014038085938,14.749999999999996,1024,244,0
0.1,8,400,0.251953125,29.203062057495117,16.20833333333333,1024,258,0
0.1,8,450,0.271484375,31.198055267333984,18.291666666666664,1024,278,0
0.1,8,500,0.28515625,32.4864387512207,19.749999999999996,1024,292,0
0.1,8,550,0.2958984375,33.62369155883789,20.89583333333333,1024,303,0
0.1,8,600,0.3046875,32.8550910949707,21.83333333333333,1024,312,0
0.1,8,650,0.3056640625,34.20899963378906,21.937499999999996,1024,313,0
0.1,8,700,0.318359375,35.57513427734375,23.291666666666664,1024,326,0
0.1,8,750,0.3232421875,35.197837829589844,23.812499999999996,1024,331,0
0.1,8,800,0.3251953125,35.19511032104492,24.02083333333333,1024,333,0
0.1,8,850,0.330078125,35.80823516845703,24.54166666666666,1024,338,0
0.1,8,900,0.33203125,35.58118438720703,24.749999999999996,1024,340,0
0.1,8,950,0.3330078125,36.169769287109375,24.85416666666666,1024,341,0
0.1,8,1000,0.3349609375,36.10560607910156,25.062499999999996,1024,343,0
