gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0.5,1000,0,0.5732421875,488.66680908203125,4.6875,1024,587,0
0.5,1000,50,0.8,1484.4500732421875,2.32379000772445,15,12,0
0.5,1000,100,0.77734375,1864.2576904296875,17.75,1024,796,0
0.5,1000,150,0.8666666666666667,1491.6741943359375,2.840187787218772,15,13,0
0.5,1000,200,0.77734375,1846.4390869140625,17.75,1024,796,0
0.5,1000,250,0.7783251231527094,1540.7930908203125,7.93104519168264,203,158,0
0.5,1000,300,0.796875,1530.5692138671875,19.0,1024,816,0
0.5,1000,350,0.7931034482758621,1574.720458984375,8.352162635488797,203,161,0
0.5,1000,400,0.8125,1447.005126953125,20.0,1024,832,0
0.5,1000,450,0.75,1618.97314453125,2.23606797749979,20,15,0
0.5,1000,500,0.8154296875,1848.7877197265625,20.1875,1024,835,0
0.5,1000,550,0.7733990147783252,1623.862548828125,7.79067271041392,203,157,0
0.5,1000,600,0.8388671875,1549.1258544921875,21.6875,1024,859,0
0.5,1000,650,0.8078817733990148,1696.9532470703125,8.773280079294956,203,164,0
0.5,1000,700,0.857421875,1458.4779052734375,22.875,1024,878,0
0.5,1000,750,0.8226600985221675,1662.2127685546875,9.194397523101113,203,167,0
0.5,1000,800,0.873046875,1526.9578857421875,23.875,1024,894,0
0.5,1000,850,0.8275862068965517,1642.506591796875,9.334770004369833,203,168,0
0.5,1000,900,0.8974609375,1525.310302734375,25.4375,1024,919,0
0.5,1000,950,0.8620689655172413,1701.405517578125,10.317377373250867,203,175,0
0.5,1000,1000,0.931640625,1415.73828125,27.625,1024,954,0
