gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0.75,70,0,0.7916666666666666,50.13368225097656,1.4907119849998598,240,190,3
0.75,70,50,0.8764172335600907,152.72592163085938,8.670416073661091,882,773,0
0.75,70,100,0.85,159.56016540527344,1.4605934866804429,40,34,0
0.75,70,150,0.8979591836734694,166.84072875976562,10.147886077244594,882,792,0
0.75,70,200,0.85,149.41506958007812,1.4605934866804429,40,34,0
0.75,70,250,0.9013605442176871,164.12539672851562,10.381170814652517,882,795,0
0.75,70,300,0.85,150.1868133544922,1.4605934866804429,40,34,0
0.75,70,350,0.9058956916099773,166.77162170410156,10.692217131196413,882,799,0
0.75,70,400,0.875,152.2675323486328,1.8257418583505538,40,35,0
0.75,70,450,0.9058956916099773,164.55694580078125,10.692217131196413,882,799,0
0.75,70,500,0.875,150.5558624267578,1.8257418583505538,40,35,0
0.75,70,550,0.9195011337868481,169.57568359375,11.6253560808281,882,811,0
0.75,70,600,0.875,152.95492553710938,1.8257418583505538,40,35,0
0.75,70,650,0.9263038548752834,164.42384338378906,12.091925555643943,882,817,0
0.75,70,700,0.875,159.28353881835938,1.8257418583505538,40,35,0
0.75,70,750,0.9342403628117913,166.02394104003906,12.63625660959576,882,824,0
0.75,70,800,0.875,154.93408203125,1.8257418583505538,40,35,0
0.75,70,850,0.9399092970521542,169.0781707763672,13.02506450527563,882,829,0
0.75,70,900,0.875,158.65679931640625,1.8257418583505538,40,35,0
0.75,70,950,0.9501133786848073,167.86000061035156,13.724918717499396,882,838,0
0.75,70,1000,0.875,165.6504669189453,1.8257418583505538,40,35,0
