gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0.75,60,0,0.7335359675785208,37.95745086669922,-1.1945220005766044,987,724,1
0.75,60,50,0.8,145.36329650878906,0.7302967433402214,40,32,0
0.75,60,100,0.8934240362811792,120.40139770507812,9.8368397607007,882,788,0
0.75,60,150,0.875,153.46133422851562,1.8257418583505538,40,35,3
0.75,60,200,0.8945578231292517,135.95675659179688,9.914601339836674,882,789,0
0.75,60,250,0.9,152.2874298095703,2.1908902300206643,40,36,3
0.75,60,300,0.8956916099773242,127.32484436035156,9.992362918972647,882,790,0
0.75,60,350,0.9,151.31105041503906,2.1908902300206643,40,36,3
0.75,60,400,0.8990929705215419,132.6223907470703,10.225647656380568,882,793,0
0.75,60,450,0.9,149.2639617919922,2.1908902300206643,40,36,3
0.75,60,500,0.9081632653061225,134.50428771972656,10.84774028946836,882,801,0
0.75,60,550,0.9,145.83700561523438,2.1908902300206643,40,36,3
0.75,60,600,0.9126984126984127,133.48194885253906,11.158786606012256,882,805,0
0.75,60,650,0.9,143.88902282714844,2.1908902300206643,40,36,3
0.75,60,700,0.9217687074829932,131.90399169921875,11.780879239100047,882,813,0
0.75,60,750,0.9,145.6074981689453,2.1908902300206643,40,36,3
0.75,60,800,0.9263038548752834,130.2318115234375,12.091925555643943,882,817,0
0.75,60,850,0.9,151.4279022216797,2.1908902300206643,40,36,3
0.75,60,900,0.937641723356009,130.50440979003906,12.869541347003683,882,827,0
0.75,60,950,0.9,152.49591064453125,2.1908902300206643,40,36,3
0.75,60,1000,0.9444444444444444,131.10475158691406,13.336110821819526,882,833,0
