gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0.25,90,0,0.28807339449541286,45.064334869384766,2.0526703723424164,545,157,3
0.25,90,50,0.6339712918660287,139.9117431640625,18.129518080669452,418,265,0
0.25,90,100,0.6883116883116883,133.96905517578125,21.757220028685268,462,318,0
0.25,90,150,0.6908665105386417,128.33558654785156,21.038773171950787,427,295,0
0.25,90,200,0.7166276346604216,142.43240356445312,22.268130435650438,427,306,0
0.25,90,250,0.7306791569086651,142.7469940185547,22.938688943122973,427,312,0
0.25,90,300,0.7423887587822015,148.58905029296875,23.497487699350085,427,317,0
0.25,90,350,0.7494145199063232,151.91354370117188,23.832766953086352,427,320,0
0.25,90,400,0.7564402810304449,155.5395050048828,24.16804620682262,427,323,0
0.25,90,450,0.7611241217798594,160.56649780273438,24.391565709313465,427,325,0
0.25,90,500,0.7634660421545667,161.283203125,24.503325460558887,427,326,0
0.25,90,550,0.7634660421545667,160.6806182861328,24.503325460558887,427,326,0
0.25,90,600,0.7611241217798594,163.5980682373047,24.391565709313465,427,325,0
0.25,90,650,0.765807962529274,164.8336944580078,24.61508521180431,427,327,0
0.25,90,700,0.765807962529274,163.40533447265625,24.61508521180431,427,327,0
0.25,90,750,0.7681498829039812,167.86520385742188,24.726844963049732,427,328,0
0.25,90,800,0.7704918032786885,163.87632751464844,24.838604714295155,427,329,0
0.25,90,850,0.7704918032786885,169.9899444580078,24.838604714295155,427,329,0
0.25,90,900,0.775175644028103,169.02406311035156,25.062124216786,427,331,0
0.25,90,950,0.7798594847775175,166.64886474609375,25.285643719276845,427,333,0
0.25,90,1000,0.7798594847775175,178.0804901123047,25.285643719276845,427,333,0
