gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0.75,1000,0,0.822265625,1166.343994140625,5.340489990004039,1024,842,0
0.75,1000,50,0.8370044052863436,1659.9483642578125,3.027286577695422,227,190,0
0.75,1000,100,0.8853503184713376,1806.817626953125,7.833186518929553,628,556,0
0.75,1000,150,0.8798828125,1373.0111083984375,9.59844822527753,1024,901,0
0.75,1000,200,0.8370044052863436,1692.4295654296875,3.027286577695422,227,190,0
0.75,1000,250,0.893312101910828,1693.1318359375,8.293962196513645,628,561,0
0.75,1000,300,0.8837890625,1336.6748046875,9.887123359872342,1024,905,0
0.75,1000,350,0.8502202643171806,1680.92041015625,3.4871275768390304,227,193,0
0.75,1000,400,0.89171974522293,1691.904296875,8.201807060996826,628,560,0
0.75,1000,450,0.896484375,1405.42431640625,10.825317547305485,1024,918,0
0.75,1000,500,0.8722466960352423,1642.60693359375,4.253529242078378,227,198,0
0.75,1000,550,0.9187898089171974,1828.1107177734375,9.768444364782738,628,577,0
0.75,1000,600,0.908203125,1379.3770751953125,11.691342951089922,1024,930,0
0.75,1000,650,0.8810572687224669,1642.633544921875,4.560089908174117,227,200,0
0.75,1000,700,0.9378980891719745,1903.8470458984375,10.874305990984556,628,589,0
0.75,1000,750,0.921875,1438.6370849609375,12.701705922171767,1024,944,0
0.75,1000,800,0.8854625550660793,1649.821533203125,4.713370241221986,227,201,0
0.75,1000,850,0.9522292993630573,2015.201904296875,11.703702210635921,628,598,0
0.75,1000,900,0.939453125,1368.305908203125,14.000744027848425,1024,962,0
0.75,1000,950,0.9251101321585903,1751.9635009765625,6.092893238652811,227,210,0
0.75,1000,1000,0.9792993630573248,2040.761962890625,13.270339514421831,628,615,0
