gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0.25,50,0,0.2673434856175973,58.863155364990234,0.9737096831680985,591,158,4
0.25,50,50,0.5114942528735632,98.2874526977539,11.265517182741148,348,178,0
0.25,50,100,0.5643939393939394,97.08712005615234,20.433187502569233,792,447,0
0.25,50,150,0.6080402010050251,157.15496826171875,11.664273504248328,199,121,0
0.25,50,200,0.6170212765957447,73.59593200683594,15.374059390013413,329,203,0
0.25,50,250,0.6291793313069909,77.44503021240234,15.883345001276796,329,207,0
0.25,50,300,0.6382978723404256,83.3278579711914,16.265309209724336,329,210,0
0.25,50,350,0.6504559270516718,86.04412841796875,16.77459482098772,329,214,0
0.25,50,400,0.662613981762918,87.87248992919922,17.283880432251102,329,218,0
0.25,50,450,0.6656534954407295,86.96839141845703,17.41120183506695,329,219,0
0.25,50,500,0.668693009118541,88.08229064941406,17.538523237882796,329,220,0
0.25,50,550,0.6747720364741642,84.71038055419922,17.79316604351449,329,222,0
0.25,50,600,0.6778115501519757,83.06757354736328,17.920487446330334,329,223,0
0.25,50,650,0.6778115501519757,81.68424224853516,17.920487446330334,329,223,0
0.25,50,700,0.6808510638297872,82.24901580810547,18.04780884914618,329,224,0
0.25,50,750,0.6808510638297872,87.64250946044922,18.04780884914618,329,224,0
0.25,50,800,0.6838905775075987,89.01070404052734,18.175130251962027,329,225,0
0.25,50,850,0.6869300911854104,88.14089965820312,18.302451654777872,329,226,0
0.25,50,900,0.6899696048632219,87.9854507446289,18.429773057593717,329,227,0
0.25,50,950,0.6960486322188449,86.12470245361328,18.68441586322541,329,229,0
0.25,50,1000,0.7142857142857143,84.25616455078125,19.448344280120487,329,235,0
