gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0.1,100,0,0.091796875,30.683216094970703,-0.8750000000000004,1024,94,0
0.1,100,50,0.4119448698315467,69.42511749267578,26.571323302614555,653,269,0
0.1,100,100,0.66796875,189.72296142578125,60.58333333333333,1024,684,0
0.1,100,150,0.6324655436447167,95.19702911376953,45.35517482729053,653,413,0
0.1,100,200,0.7939453125,197.8144989013672,74.02083333333333,1024,813,0
0.1,100,250,0.7197549770290965,108.53475189208984,52.790449389141436,653,470,0
0.1,100,300,0.82421875,204.80799865722656,77.24999999999999,1024,844,0
0.1,100,350,0.7534456355283308,127.01553344726562,55.660204483189155,653,492,0
0.1,100,400,0.8349609375,212.33653259277344,78.39583333333333,1024,855,0
0.1,100,450,0.776416539050536,145.39892578125,57.616855683676235,653,507,0
0.1,100,500,0.8408203125,218.76478576660156,79.02083333333333,1024,861,0
0.1,100,550,0.7932618683001531,156.81422424316406,59.051733230700094,653,518,0
0.1,100,600,0.8427734375,222.56443786621094,79.22916666666666,1024,863,0
0.1,100,650,0.7993874425727412,161.67050170898438,59.573506884163315,653,522,0
0.1,100,700,0.845703125,226.8221435546875,79.54166666666666,1024,866,0
0.1,100,750,0.8055130168453293,166.864990234375,60.095280537626536,653,526,0
0.1,100,800,0.8466796875,231.26747131347656,79.64583333333333,1024,867,0
0.1,100,850,0.8070444104134763,171.35890197753906,60.22572395099235,653,527,0
0.1,100,900,0.84765625,233.6266632080078,79.74999999999999,1024,868,0
0.1,100,950,0.759765625,172.88909912109375,70.37499999999999,1024,778,0
0.1,100,1000,0.7607421875,174.01881408691406,70.47916666666666,1024,779,0
