gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0.75,100,0,0.7586206896551724,31.624685287475586,0.30323921743156135,232,176,1
0.75,100,50,0.8662420382165605,180.7636260986328,6.727324892727734,628,544,0
0.75,100,100,0.8690228690228691,134.00271606445312,6.028403548340916,481,418,0
0.75,100,150,0.8509803921568627,124.66215515136719,3.7239728592202646,255,217,0
0.75,100,200,0.8916015625,213.64566040039062,10.464473629061967,1024,913,0
0.75,100,250,0.8612099644128114,188.24635314941406,6.088512801793538,562,484,0
0.75,100,300,0.8789808917197452,179.9274139404297,7.46456597686228,628,552,0
0.75,100,350,0.8731808731808732,130.7121124267578,6.239002798937978,481,420,0
0.75,100,400,0.8784313725490196,125.72456359863281,4.7363149957073265,255,224,0
0.75,100,450,0.900390625,201.4818572998047,11.113992681900296,1024,922,0
0.75,100,500,0.8772241992882562,196.1326904296875,6.965258645251808,562,493,0
0.75,100,550,0.8885350318471338,164.6593017578125,8.01749678996319,628,558,0
0.75,100,600,0.8981288981288982,140.67149353027344,7.5025983025203535,481,432,0
0.75,100,650,0.9058823529411765,129.2944793701172,5.7486571321943885,255,231,0
0.75,100,700,0.9130859375,214.4521942138672,12.052186869333438,1024,935,0
0.75,100,750,0.900355871886121,210.44766235351562,8.231669308024864,562,506,0
0.75,100,800,0.9076433121019108,168.63330078125,9.12335841616501,628,570,0
0.75,100,850,0.9334719334719335,142.85745239257812,9.292691932595385,481,449,0
0.75,100,900,0.9254901960784314,128.71446228027344,6.471758658256576,255,236,0
0.75,100,950,0.9296875,221.92723083496094,13.279056191361393,1024,952,0
0.75,100,1000,0.9217081850533808,213.10101318359375,9.400663765969224,562,518,0
