gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0.1,30,0,0.09848484848484848,27.025041580200195,-0.08206099398622226,264,26,0
0.1,30,50,0.1557377049180328,86.5379638671875,2.052143576963753,122,19,0
0.1,30,100,0.2685546875,71.97985076904297,17.979166666666664,1024,275,0
0.1,30,150,0.3407079646017699,63.079437255859375,12.062113908311003,226,77,0
0.1,30,200,0.41655716162943496,42.26773452758789,29.10872725881571,761,317,0
0.1,30,250,0.44152431011826543,43.59632873535156,31.40455879853135,761,336,0
0.1,30,300,0.469119579500657,45.914974212646484,33.9420568161118,761,357,0
0.1,30,350,0.49014454664914586,49.12302780151367,35.875388639030234,761,373,0
0.1,30,400,0.5098554533508541,50.25838851928711,37.68788722301627,761,388,0
0.1,30,450,0.5269382391590013,52.6998176574707,39.2587193291375,761,401,0
0.1,30,500,0.5374507227332457,53.395408630371094,40.225385240596715,761,409,0
0.1,30,550,0.5440210249671484,53.760616302490234,40.82955143525873,761,414,0
0.1,30,600,0.5492772667542707,55.52883529663086,41.31288439098834,761,418,0
0.1,30,650,0.5505913272010512,55.851776123046875,41.43371762992074,761,419,0
0.1,30,700,0.5545335085413929,56.544124603271484,41.796217346717945,761,422,0
0.1,30,750,0.5545335085413929,57.634124755859375,41.796217346717945,761,422,0
0.1,30,800,0.5584756898817346,58.28572463989258,42.158717063515155,761,425,0
0.1,30,850,0.5584756898817346,60.15105438232422,42.158717063515155,761,425,0
0.1,30,900,0.5584756898817346,61.219173431396484,42.158717063515155,761,425,0
0.1,30,950,0.5597897503285151,61.62155532836914,42.27955030244756,761,426,0
0.1,30,1000,0.5611038107752957,61.51774215698242,42.40038354137996,761,427,0
